date,time,home_team,away_team,venue,stadium_details
20240928,7:30 amUSA,Newcastle United,Manchester City,St. James' Park,Newcastle upon Tyne
20240928,10:00 amPEAC,Arsenal,Leicester City,Emirates Stadium,London
20240928,10:00 amPEAC,Chelsea,Brighton & Hove Albion,Stamford Bridge,London
20240928,10:00 amPEAC,Everton,Crystal Palace,Goodison Park,Liverpool
20240928,10:00 amPEAC,Nottingham Forest,Fulham,The City Ground,Nottingham
20240928,10:00 amUSA,Brentford,West Ham United,Gtech Community Stadium,London
20240928,12:30 pmUSA,Wolverhampton,Liverpool,Molineux,Wolverhampton
20240929,9:00 amUSA,Ipswich Town,Aston Villa,Portman Road,Ipswich
20240929,11:30 amUSA,Manchester United,Tottenham Hotspur,Old Trafford,Manchester
20241005,7:30 am,Crystal Palace,Liverpool,Selhurst Park,London
20241005,10:00 am,Arsenal,Southampton,Emirates Stadium,London
20241005,10:00 am,Leicester City,Bournemouth,King Power Stadium,Leicester
20241005,10:00 am,Manchester City,Fulham,Etihad Stadium,Manchester
20241005,10:00 am,West Ham United,Ipswich Town,London Stadium,London
20241005,10:00 am,Brentford,Wolverhampton,Gtech Community Stadium,London
20241005,12:30 pm,Everton,Newcastle United,Goodison Park,Liverpool
20241006,9:00 am,Aston Villa,Manchester United,Villa Park,Birmingham
20241006,9:00 am,Chelsea,Nottingham Forest,Stamford Bridge,London
20241006,11:30 am,Brighton & Hove Albion,Tottenham Hotspur,American Express Community Stadium,Brighton
20241019,7:30 am,Tottenham Hotspur,West Ham United,Tottenham Hotspur Stadium,London
20241019,10:00 am,Ipswich Town,Everton,Portman Road,Ipswich
20241019,10:00 am,Manchester United,Brentford,Old Trafford,Manchester
20241019,10:00 am,Newcastle United,Brighton & Hove Albion,St. James' Park,Newcastle upon Tyne
20241019,10:00 am,Southampton,Leicester City,St. Mary's Stadium,Southampton
20241019,10:00 am,Fulham,Aston Villa,Craven Cottage,London
20241019,12:30 pm,Bournemouth,Arsenal,Vitality Stadium,Bournemouth
20241020,9:00 am,Wolverhampton,Manchester City,Molineux,Wolverhampton
20241020,11:30 am,Liverpool,Chelsea,Anfield,Liverpool
20241026,10:00 am,Aston Villa,Bournemouth,Villa Park,Birmingham
20241026,10:00 am,Manchester City,Southampton,Etihad Stadium,Manchester
20241026,10:00 am,Brighton & Hove Albion,Wolverhampton,American Express Community Stadium,Brighton
20241026,10:00 am,Brentford,Ipswich Town,Gtech Community Stadium,London
20241026,12:30 pm,Everton,Fulham,Goodison Park,Liverpool
20241027,10:00 am,Chelsea,Newcastle United,Stamford Bridge,London
20241027,10:00 am,West Ham United,Manchester United,London Stadium,London
20241027,10:00 am,Crystal Palace,Tottenham Hotspur,Selhurst Park,London
20241027,12:30 pm,Arsenal,Liverpool,Emirates Stadium,London
20241102,8:30 am,Newcastle United,Arsenal,St. James' Park,Newcastle upon Tyne
20241102,11:00 am,Ipswich Town,Leicester City,Portman Road,Ipswich
20241102,11:00 am,Liverpool,Brighton & Hove Albion,Anfield,Liverpool
20241102,11:00 am,Southampton,Everton,St. Mary's Stadium,Southampton
20241102,11:00 am,Nottingham Forest,West Ham United,The City Ground,Nottingham
20241102,11:00 am,Bournemouth,Manchester City,Vitality Stadium,Bournemouth
20241102,1:30 pm,Wolverhampton,Crystal Palace,Molineux,Wolverhampton
20241103,9:00 am,Tottenham Hotspur,Aston Villa,Tottenham Hotspur Stadium,London
20241103,11:30 am,Manchester United,Chelsea,Old Trafford,Manchester
20241109,10:00 am,West Ham United,Everton,London Stadium,London
20241109,10:00 am,Crystal Palace,Fulham,Selhurst Park,London
20241109,10:00 am,Wolverhampton,Southampton,Molineux,Wolverhampton
20241109,10:00 am,Brentford,Bournemouth,Gtech Community Stadium,London
20241109,12:30 pm,Brighton & Hove Albion,Manchester City,American Express Community Stadium,Brighton
20241109,3:00 pm,Liverpool,Aston Villa,Anfield,Liverpool
20241110,9:00 am,Manchester United,Leicester City,Old Trafford,Manchester
20241110,9:00 am,Tottenham Hotspur,Ipswich Town,Tottenham Hotspur Stadium,London
20241110,9:00 am,Nottingham Forest,Newcastle United,The City Ground,Nottingham
20241110,11:30 am,Chelsea,Arsenal,Stamford Bridge,London
20241123,7:30 am,Leicester City,Chelsea,King Power Stadium,Leicester
20241123,10:00 am,Arsenal,Nottingham Forest,Emirates Stadium,London
20241123,10:00 am,Aston Villa,Crystal Palace,Villa Park,Birmingham
20241123,10:00 am,Everton,Brentford,Goodison Park,Liverpool
20241123,10:00 am,Fulham,Wolverhampton,Craven Cottage,London
20241123,10:00 am,Bournemouth,Brighton & Hove Albion,Vitality Stadium,Bournemouth
20241123,12:30 pm,Manchester City,Tottenham Hotspur,Etihad Stadium,Manchester
20241124,9:00 am,Southampton,Liverpool,St. Mary's Stadium,Southampton
20241124,11:30 am,Ipswich Town,Manchester United,Portman Road,Ipswich
20241130,10:00 am,Crystal Palace,Newcastle United,Selhurst Park,London
20241130,10:00 am,Nottingham Forest,Ipswich Town,The City Ground,Nottingham
20241130,10:00 am,Wolverhampton,Bournemouth,Molineux,Wolverhampton
20241130,10:00 am,Brentford,Leicester City,Gtech Community Stadium,London
20241130,12:30 pm,West Ham United,Arsenal,London Stadium,London
20241201,8:30 am,Chelsea,Aston Villa,Stamford Bridge,London
20241201,8:30 am,Manchester United,Everton,Old Trafford,Manchester
20241201,8:30 am,Tottenham Hotspur,Fulham,Tottenham Hotspur Stadium,London
20241201,11:00 am,Liverpool,Manchester City,Anfield,Liverpool
20241203,2:45 pm,Arsenal,Manchester United,Emirates Stadium,London
