date,time,home_team,away_team,venue,stadium_details
20241001,12:45 pmParamount+,Stuttgart,Sparta Praha,Mercedes-Benz Arena,"('Stuttgart', 'Germany')"
20241001,12:45 pmParamount+,RB Salzburg,Brest,Red Bull Arena,"('Salzburg', 'Austria')"
20241001,3:00 pmParamount+,Borussia Dortmund,Celtic,Signal Iduna Park,"('Dortmund', 'Germany')"
20241001,3:00 pmParamount+,Bayer Leverkusen,AC Milan,BayArena,"('Leverkusen', 'Germany')"
20241001,3:00 pmParamount+,Arsenal,PSG,Emirates Stadium,"('London', 'England')"
20241001,3:00 pmParamount+,Inter,Red Star Belgrade,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20241001,3:00 pmParamount+,Barcelona,Young Boys,Estadi Olimpic Lluis Companys,"('Barcelona', 'Spain')"
20241001,3:00 pmParamount+,PSV,Sporting CP,Philips Stadion,"('Eindhoven', 'Netherlands')"
20241001,3:00 pmParamount+,Slovan Bratislava,Manchester City,Stadion Tehelne pole,"('Bratislava', 'Slovakia')"
20241002,12:45 pmParamount+,Shakhtar Donetsk,Atalanta,Veltins-Arena,"('Gelsenkirchen', 'Germany')"
20241002,12:45 pmParamount+,Girona,Feyenoord,Estadi Municipal de Montilivi,"('Girona', 'Spain')"
20241002,3:00 pmParamount+,Aston Villa,Bayern Munich,Villa Park,"('Birmingham', 'England')"
20241002,3:00 pmParamount+,Dinamo Zagreb,Monaco,Stadion Maksimir,"('Zagreb', 'Croatia')"
20241002,3:00 pmParamount+,Liverpool,Bologna,Anfield,"('Liverpool', 'England')"
20241002,3:00 pmParamount+,Lille,Real Madrid,Stade Pierre Mauroy,"('Lille', 'France')"
20241002,3:00 pmParamount+,Benfica,Atletico Madrid,Estadio do Sport Lisboa e Benfica,"('Lisbon', 'Portugal')"
20241002,3:00 pmParamount+,SK Sturm Graz,Club Brugge,Merkur Arena,"('Graz', 'Austria')"
20241002,3:00 pmParamount+,RB Leipzig,Juventus,Red Bull Arena,"('Salzburg', 'Austria')"
20241022,12:45 pm,AC Milan,Club Brugge,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20241022,12:45 pm,Monaco,Red Star Belgrade,Stade Louis II,"('Monaco', 'Monaco')"
20241022,3:00 pm,Aston Villa,Bologna,Villa Park,"('Birmingham', 'England')"
20241022,3:00 pm,PSG,PSV,Parc des Princes,"('Paris', 'France')"
20241022,3:00 pm,Juventus,Stuttgart,Allianz Stadium,"('Turin', 'Italy')"
20241022,3:00 pm,Arsenal,Shakhtar Donetsk,Emirates Stadium,"('London', 'England')"
20241022,3:00 pm,Real Madrid,Borussia Dortmund,Santiago Bernabéu,"('Madrid', 'Spain')"
20241022,3:00 pm,SK Sturm Graz,Sporting CP,Merkur Arena,"('Graz', 'Austria')"
20241022,3:00 pm,Girona,Slovan Bratislava,Estadi Municipal de Montilivi,"('Girona', 'Spain')"
20241023,12:45 pm,Atalanta,Celtic,Gewiss Stadium,"('Bergamo', 'Italy')"
20241023,12:45 pm,Brest,Bayer Leverkusen,Stade du Roudourou,"('Guingamp', 'France')"
20241023,3:00 pm,Manchester City,Sparta Praha,Etihad Stadium,"('Manchester', 'England')"
20241023,3:00 pm,Atletico Madrid,Lille,Estadio Civitas Metropolitano,"('Madrid', 'Spain')"
20241023,3:00 pm,RB Salzburg,Dinamo Zagreb,Red Bull Arena,"('Salzburg', 'Austria')"
20241023,3:00 pm,Young Boys,Inter,Stade de Suisse Wankdorf,"('Bern', 'Switzerland')"
20241023,3:00 pm,Barcelona,Bayern Munich,Estadi Olimpic Lluis Companys,"('Barcelona', 'Spain')"
20241023,3:00 pm,Benfica,Feyenoord,Estadio do Sport Lisboa e Benfica,"('Lisbon', 'Portugal')"
20241023,3:00 pm,RB Leipzig,Liverpool,Red Bull Arena,"('Salzburg', 'Austria')"
20241105,12:45 pm,PSV,Girona,Philips Stadion,"('Eindhoven', 'Netherlands')"
20241105,12:45 pm,Slovan Bratislava,Dinamo Zagreb,Stadion Tehelne pole,"('Bratislava', 'Slovakia')"
20241105,3:00 pm,Borussia Dortmund,SK Sturm Graz,Signal Iduna Park,"('Dortmund', 'Germany')"
20241105,3:00 pm,Bologna,Monaco,Renato Dall'Ara,"('Bologna', 'Italy')"
20241105,3:00 pm,Liverpool,Bayer Leverkusen,Anfield,"('Liverpool', 'England')"
20241105,3:00 pm,Lille,Juventus,Stade Pierre Mauroy,"('Lille', 'France')"
20241105,3:00 pm,Celtic,RB Leipzig,Celtic Park,"('Glasgow', 'Scotland')"
20241105,3:00 pm,Real Madrid,AC Milan,Santiago Bernabéu,"('Madrid', 'Spain')"
20241105,3:00 pm,Sporting CP,Manchester City,Jose Alvalde,"('Lisbon', 'Portugal')"
20241106,12:45 pm,Club Brugge,Aston Villa,Jan Breydelstadion,"('Bruges', 'Belgium')"
20241106,12:45 pm,Shakhtar Donetsk,Young Boys,Veltins-Arena,"('Gelsenkirchen', 'Germany')"
20241106,3:00 pm,Stuttgart,Atalanta,Mercedes-Benz Arena,"('Stuttgart', 'Germany')"
20241106,3:00 pm,PSG,Atletico Madrid,Parc des Princes,"('Paris', 'France')"
20241106,3:00 pm,Feyenoord,RB Salzburg,Stadion Feijenoord,"('Rotterdam', 'Netherlands')"
20241106,3:00 pm,Sparta Praha,Brest,epet ARENA,"('Prague', 'Czech Republic')"
20241106,3:00 pm,Red Star Belgrade,Barcelona,Stadion Rajko Mitic,"('Belgrade', 'Serbia')"
20241106,3:00 pm,Inter,Arsenal,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20241106,3:00 pm,Bayern Munich,Benfica,Allianz Arena,"('Munich', 'Germany')"
20241126,12:45 pm,Sparta Praha,Atletico Madrid,epet ARENA,"('Prague', 'Czech Republic')"
20241126,12:45 pm,Slovan Bratislava,AC Milan,Stadion Tehelne pole,"('Bratislava', 'Slovakia')"
20241126,3:00 pm,Manchester City,Feyenoord,Etihad Stadium,"('Manchester', 'England')"
20241126,3:00 pm,Bayer Leverkusen,RB Salzburg,BayArena,"('Leverkusen', 'Germany')"
20241126,3:00 pm,Young Boys,Atalanta,Stade de Suisse Wankdorf,"('Bern', 'Switzerland')"
20241126,3:00 pm,Inter,RB Leipzig,Stadio Giuseppe Meazza,"('Milan', 'Italy')"
20241126,3:00 pm,Barcelona,Brest,Estadi Olimpic Lluis Companys,"('Barcelona', 'Spain')"
20241126,3:00 pm,Bayern Munich,PSG,Allianz Arena,"('Munich', 'Germany')"
20241126,3:00 pm,Sporting CP,Arsenal,Jose Alvalde,"('Lisbon', 'Portugal')"
20241127,12:45 pm,Red Star Belgrade,Stuttgart,Stadion Rajko Mitic,"('Belgrade', 'Serbia')"
20241127,12:45 pm,SK Sturm Graz,Girona,Merkur Arena,"('Graz', 'Austria')"
20241127,3:00 pm,Aston Villa,Juventus,Villa Park,"('Birmingham', 'England')"
20241127,3:00 pm,Bologna,Lille,Renato Dall'Ara,"('Bologna', 'Italy')"
20241127,3:00 pm,Monaco,Benfica,Stade Louis II,"('Monaco', 'Monaco')"
